probe,associate,associatecont,Meaning_R1,Meaning_BestGuess_R1,Meaning_R2,Meaning_BestGuess_R2,Comment_R1,Comment_R2,Agreement,CertainAgreement,CertainOrUncertainAgreement
bang,boom,,1,1,1,1,,,1,1,1
bang,loud,,1,1,1,1,,,1,1,1
bank,vault,,2,2,2,2,,,1,1,1
bank,robber,,2,2,2,2,,,1,1,1
bank,teller,,2,2,2,2,,,1,1,1
bank,loan,,2,2,2,2,,,1,1,1
bank,money,,2,2,2,2,,,1,1,1
bank,account,,2,2,2,2,,,1,1,1
banker,barnett,,?1,1,?1,1,is Barnett referring to a person? i.e. Henry Barnett?,,1,,1
banker,dork,,?1,1,1,1,,,0,,1
banker,suit,,1,1,1,1,,,1,1,1
banker,lawyer,,1,1,1,1,,,1,1,1
banker,boring,,1,1,1,1,,,1,1,1
banker,bank,,1,1,1,1,,,1,1,1
banker,teller,,1,1,1,1,,,1,1,1
banker,rich,,1,1,1,1,,,1,1,1
banker,money,,1,1,1,1,,,1,1,1
bar,stool,,1,1,1,1,,,1,1,1
bar,pole,,1,1,1,1,,,1,1,1
bar,beer,,1,1,1,1,,,1,1,1
bar,grill,,1,1,1,1,,,1,1,1
bar,club,,1,1,1,1,,,1,1,1
bar,room,,1,1,1,1,,,1,1,1
bar,drink,,1,1,1,1,,,1,1,1
bar,dance,,1,1,1,1,,,1,1,1
bar,liquor,,1,1,1,1,,,1,1,1
bar,pub,,1,1,1,1,,,1,1,1
bar,bartender,,1,1,1,1,,,1,1,1
bar,alcohol,,1,1,1,1,,,1,1,1
bar,drunk,,1,1,1,1,,,1,1,1
bark,tree,,2,2,2,2,,,1,1,1
bark,bite,,1,1,1,1,,,1,1,1
bark,meow,,1,1,1,1,,,1,1,1
bark,yell,,1,1,1,1,,,1,1,1
bark,dog,,1,1,1,1,,,1,1,1
base,guitar,,1,1,?1,1,,Neither...meant 'bass',0,,1
base,stolen,,2,2,1,1,,,0,,0
base,treble,,2,2,1,1,,,0,,0
base,foundation,,1,1,1,1,,,1,1,1
base,home,,1,1,1,1,,,1,1,1
base,acid,,1,1,1,1,,,1,1,1
base,third,,1,1,1,1,,,1,1,1
base,bottom,,1,1,1,1,,,1,1,1
base,vase,,1,1,1,1,,,1,1,1
base,air,force,1,1,1,1,,,1,1,1
base,military,,1,1,1,1,,,1,1,1
base,baseball,,1,1,1,1,,,1,1,1
base,make,up,1,1,1,1,,,1,1,1
base,chemistry,,1,1,1,1,,,1,1,1
base,basement,,1,1,1,1,,,1,1,1
base,exponent,,1,1,1,1,,,1,1,1
base,line,,1,1,1,1,,,1,1,1
base,first,,1,1,1,1,,,1,1,1
base,army,,1,1,1,1,,,1,1,1
base,top,,1,1,1,1,,,1,1,1
bass,shoes,,?1,1,?1,1,,,1,,1
bass,lake,,2,2,2,2,,,1,1,1
bass,fish,,2,2,2,2,,,1,1,1
bass,radio,,1,1,1,1,,,1,1,1
bass,sound,,1,1,1,1,,,1,1,1
bass,violin,,1,1,1,1,,,1,1,1
bass,drum,,1,1,1,1,,,1,1,1
bass,boom,,1,1,1,1,,,1,1,1
bass,music,,1,1,1,1,,,1,1,1
bass,guitar,,1,1,1,1,,,1,1,1
bass,treble,,1,1,1,1,,,1,1,1
bass,cello,,1,1,1,1,,,1,1,1
bass,soprano,,1,1,1,1,,,1,1,1
bass,instrument,,1,1,1,1,,,1,1,1
bat,belfry,,2,2,1,1,,,0,,0
bat,animal,,2,2,2,2,,,1,1,1
bat,dark,,2,2,2,2,,,1,1,1
bat,bird,,2,2,2,2,,,1,1,1
bat,blind,,2,2,2,2,,,1,1,1
bat,wings,,2,2,2,2,,,1,1,1
bat,night,,2,2,2,2,,,1,1,1
bat,cave,,2,2,2,2,,,1,1,1
bat,rat,,2,2,2,2,,,1,1,1
bat,vampire,,2,2,2,2,,,1,1,1
bat,rabies,,2,2,2,2,,,1,1,1
bat,black,,2,2,2,2,,,1,1,1
bat,fly,,2,2,2,2,,,1,1,1
bat,hair,,2,2,2,2,,,1,1,1
bat,bite,,2,2,2,2,,,1,1,1
bat,ball,,1,1,1,1,,,1,1,1
bat,baseball,,1,1,1,1,,,1,1,1
bay,area,,2,2,1,1,,,0,,0
bay,watch,,2,2,1,1,,,0,,0
bay,window,,2,2,2,2,,,1,1,1
bay,sea,,1,1,1,1,,,1,1,1
bay,river,,1,1,1,1,,,1,1,1
bay,gulf,,1,1,1,1,,,1,1,1
bay,harbor,,1,1,1,1,,,1,1,1
bay,boat,,1,1,1,1,,,1,1,1
bay,lake,,1,1,1,1,,,1,1,1
bay,shore,,1,1,1,1,,,1,1,1
bay,water,,1,1,1,1,,,1,1,1
bay,front,,1,1,1,1,,,1,1,1
bay,tampa,,1,1,1,1,,,1,1,1
bay,ocean,,1,1,1,1,,,1,1,1
bay,horse,,1,1,?2,2,,,0,,0
bear,hug,,1,1,2,2,,,0,,0
bear,honey,,2,2,2,2,,,1,1,1
bear,woods,,2,2,2,2,,,1,1,1
bear,mean,,2,2,2,2,,,1,1,1
bear,dog,,2,2,2,2,,,1,1,1
bear,mountain,,2,2,2,2,,,1,1,1
bear,animal,,2,2,2,2,,,1,1,1
bear,cub,,2,2,2,2,,,1,1,1
bear,mammal,,2,2,2,2,,,1,1,1
bear,big,,2,2,2,2,,,1,1,1
bear,hairy,,2,2,2,2,,,1,1,1
bear,tree,,2,2,2,2,,,1,1,1
bear,paw,,2,2,2,2,,,1,1,1
bear,teddy,bear,2,2,2,2,,,1,1,1
bear,tiger,,2,2,2,2,,,1,1,1
bear,polar,,2,2,2,2,,,1,1,1
bear,forest,,2,2,2,2,,,1,1,1
bear,claw,,2,2,2,2,,,1,1,1
bear,black,,2,2,2,2,,,1,1,1
bear,ussr,,2,2,2,2,,,1,1,1
bear,brown,,2,2,2,2,,,1,1,1
bear,cave,,2,2,2,2,,,1,1,1
bear,grizzly,,2,2,2,2,,,1,1,1
bear,fur,,2,2,2,2,,,1,1,1
bear,lion,,2,2,2,2,,,1,1,1
bear,in,mind,1,1,1,1,,,1,1,1
bear,arms,,1,1,1,1,,,1,1,1
bear,hold,,1,1,1,1,,,1,1,1
beaver,cleaver,,2,2,1,1,,,0,,0
beaver,hat,,2,2,1,1,,,0,,0
beaver,creek,,1,1,1,1,,,1,1,1
beaver,brown,,1,1,1,1,,,1,1,1
beaver,otter,,1,1,1,1,,,1,1,1
beaver,wood,,1,1,1,1,,,1,1,1
beaver,tail,,1,1,1,1,,,1,1,1
beaver,dam,,1,1,1,1,,,1,1,1
beaver,eager,,1,1,1,1,,,1,1,1
beaver,tree,,1,1,1,1,,,1,1,1
beaver,fur,,1,1,1,1,,,1,1,1
beaver,log,,1,1,1,1,,,1,1,1
beaver,animal,,1,1,1,1,,,1,1,1
beaver,teeth,,1,1,1,1,,,1,1,1
beaver,water,,1,1,1,1,,,1,1,1
beaver,bear,,1,1,1,1,,,1,1,1
beetle,juice,,3,3,-,,,,0,,0
beetle,bailey,,1,1,-,,,,0,,0
beetle,bug,,1,1,1,1,,,1,1,1
beetle,insect,,1,1,1,1,,,1,1,1
bent,over,,1,1,1,1,,,1,1,1
bent,crooked,,1,1,1,1,,,1,1,1
bent,rod,,1,1,1,1,,,1,1,1
bent,twisted,,1,1,1,1,,,1,1,1
bent,bar,,1,1,1,1,,,1,1,1
bent,knee,,1,1,1,1,,,1,1,1
bent,tree,,1,1,1,1,,,1,1,1
bent,wrong,,1,1,1,1,,,1,1,1
bent,broken,,1,1,1,1,,,1,1,1
bent,turned,,1,1,1,1,,,1,1,1
bent,leg,,1,1,1,1,,,1,1,1
bent,curved,,1,1,1,1,,,1,1,1
bent,straight,,1,1,1,1,,,1,1,1
bent,back,,1,1,1,1,,,1,1,1
blaze,trail,,2,2,2,2,,,1,1,1
blaze,saddle,,2,2,2,2,,,1,1,1
blaze,flame,,1,1,1,1,,,1,1,1
blaze,hot,,1,1,1,1,,,1,1,1
blaze,burn,,1,1,1,1,,,1,1,1
blaze,fire,,1,1,1,1,,,1,1,1
blow,up,,1,1,2,2,,,0,,0
blow,away,,1,1,2,2,,,0,,0
blow,explode,,1,1,2,2,,,0,,0
blow,hair,,2,2,2,2,,,1,1,1
blow,air,,2,2,2,2,,,1,1,1
blow,whistle,,2,2,2,2,,,1,1,1
blow,out,,2,2,2,2,,,1,1,1
blow,breath,,2,2,2,2,,,1,1,1
blow,dry,,2,2,2,2,,,1,1,1
blow,dryer,,2,2,2,2,,,1,1,1
blow,candle,,2,2,2,2,,,1,1,1
blow,pop,,2,2,2,2,,,1,1,1
blow,nose,,2,2,2,2,,,1,1,1
blow,torch,,2,2,2,2,,,1,1,1
blow,suck,,2,2,2,2,,,1,1,1
blow,wind,,2,2,2,2,,,1,1,1
blow,hard,,2,2,2,2,,,1,1,1
blow,job,,2,2,2,2,,,1,1,1
blow,horn,,2,2,2,2,,,1,1,1
blow,balloon,,2,2,2,2,,,1,1,1
blow,bubble,,2,2,2,2,,,1,1,1
blow,hit,,1,1,1,1,,,1,1,1
blow,strike,,1,1,1,1,,,1,1,1
bluff,call,,2,2,1,1,,,0,,0
bluff,bully,,1,1,2,2,,,0,,0
bluff,lie,,2,2,2,2,,,1,1,1
bluff,trick,,2,2,2,2,,,1,1,1
bluff,joke,,2,2,2,2,,,1,1,1
bluff,cards,,2,2,2,2,,,1,1,1
bluff,fake,,2,2,2,2,,,1,1,1
bluff,fool,,2,2,2,2,,,1,1,1
bluff,poker,,2,2,2,2,,,1,1,1
bluff,cover,up,2,2,2,2,,,1,1,1
bluff,hill,,1,1,1,1,,,1,1,1
bluff,cliff,,1,1,1,1,,,1,1,1
bluff,beach,,1,1,1,1,,,1,1,1
bluff,mountain,,1,1,1,1,,,1,1,1
bluff,FALSE,,?2,2,2,2,not sure if 'FALSE' is an associate?,,0,,1
boil,bake,,1,1,1,1,,,1,1,1
boil,freeze,,1,1,1,1,,,1,1,1
boil,crab,,1,1,1,1,,,1,1,1
boil,burn,,1,1,1,1,,,1,1,1
boil,hot,,1,1,1,1,,,1,1,1
boil,stone,,1,1,1,1,,,1,1,1
boil,heat,,1,1,1,1,,,1,1,1
boil,steam,,1,1,1,1,,,1,1,1
boil,eggs,,1,1,1,1,,,1,1,1
boil,pot,,1,1,1,1,,,1,1,1
boil,bubble,,1,1,1,1,,,1,1,1
boil,simmer,,1,1,1,1,,,1,1,1
boil,fry,,1,1,1,1,,,1,1,1
boil,cook,,1,1,1,1,,,1,1,1
boil,water,,1,1,1,1,,,1,1,1
bolt,nut,,1,1,2,2,,,0,,0
bolt,dash,,1,1,1,1,,,1,1,1
bolt,nail,,1,1,1,1,,,1,1,1
bolt,door,,1,1,1,1,,,1,1,1
bolt,run,,1,1,1,1,,,1,1,1
bolt,lightning,,1,1,1,1,,,1,1,1
bolt,lock,,1,1,1,1,,,1,1,1
bolt,close,,1,1,1,1,,,1,1,1
bolt,screw,,1,1,1,1,,,1,1,1
bolt,thunder,,1,1,1,1,,,1,1,1
bolt,fast,,1,1,1,1,,,1,1,1
boom,sound,,1,1,1,1,,,1,1,1
boom,balloon,,1,1,1,1,,,1,1,1
boom,baby,,1,1,1,1,,,1,1,1
boom,pow,,1,1,1,1,,,1,1,1
boom,noise,,1,1,1,1,,,1,1,1
boom,explosion,,1,1,1,1,,,1,1,1
boom,sonic,,1,1,1,1,,,1,1,1
boom,explode,,1,1,1,1,,,1,1,1
boom,crash,,1,1,1,1,,,1,1,1
boom,bang,,1,1,1,1,,,1,1,1
boom,big,,1,1,1,1,,,1,1,1
boom,box,,1,1,1,1,,,1,1,1
boom,bass,,1,1,1,1,,,1,1,1
boom,gun,,1,1,1,1,,,1,1,1
boom,bomb,,1,1,1,1,,,1,1,1
boom,firecracker,,1,1,1,1,,,1,1,1
boom,loud,,1,1,1,1,,,1,1,1
boring,math,,2,2,2,2,,,1,1,1
boring,tired,,2,2,2,2,,,1,1,1
boring,dead,,2,2,2,2,,,1,1,1
boring,yawn,,2,2,2,2,,,1,1,1
boring,uninteresting,,2,2,2,2,,,1,1,1
boring,dull,,2,2,2,2,,,1,1,1
boring,repetitive,,2,2,2,2,,,1,1,1
boring,lecture,,2,2,2,2,,,1,1,1
boring,school,,2,2,2,2,,,1,1,1
boring,interesting,,2,2,2,2,,,1,1,1
boring,sleepy,,2,2,2,2,,,1,1,1
boring,lazy,,2,2,2,2,,,1,1,1
boring,exciting,,2,2,2,2,,,1,1,1
boring,bland,,2,2,2,2,,,1,1,1
boring,fun,,2,2,2,2,,,1,1,1
boring,class,,2,2,2,2,,,1,1,1
bound,out,,4,4,2,2,,,0,,0
bound,rope,,1,1,3,3,,,0,,0
bound,gagged,,1,1,3,3,,,0,,0
bound,home,,4,4,4,4,,,1,1,1
bound,leap,,2,2,2,2,,,1,1,1
bound,jump,,2,2,2,2,,,1,1,1
bound,run,,2,2,2,2,,,1,1,1
bound,determined,,1,1,1,1,,,1,1,1
bound,tight,,1,1,1,1,,,1,1,1
bound,bond,,1,1,1,1,,,1,1,1
bound,tie,,1,1,1,1,,,1,1,1
bound,chained,,1,1,1,1,,,1,1,1
bound,together,,1,1,1,1,,,1,1,1
bound,held,,1,1,1,1,,,1,1,1
bound,free,,1,1,1,1,,,1,1,1
bow,ed,,?1,1,2,2,,,0,,0
bow,stern,,3,3,3,3,,,1,1,1
bow,hair,,2,2,2,2,,,1,1,1
bow,arrow,,2,2,2,2,,,1,1,1
bow,barrette,,2,2,2,2,,,1,1,1
bow,ribbon,,2,2,2,2,,,1,1,1
bow,tie,,2,2,2,2,,,1,1,1
bow,present,,2,2,2,2,,,1,1,1
bow,bend,,1,1,1,1,,,1,1,1
bow,applaud,,1,1,1,1,,,1,1,1
bow,performance,,1,1,1,1,,,1,1,1
bow,curtsey,,1,1,1,1,,,1,1,1
bowl,super,,2,2,2,2,,,1,1,1
bowl,ball,,2,2,2,2,,,1,1,1
bowl,game,,2,2,2,2,,,1,1,1
bowl,pin,,2,2,2,2,,,1,1,1
bowl,lane,,2,2,2,2,,,1,1,1
bowl,strike,,2,2,2,2,,,1,1,1
bowl,alley,,2,2,2,2,,,1,1,1
bowl,fun,,2,2,2,2,,,1,1,1
bowl,roll,,2,2,2,2,,,1,1,1
bowl,score,,2,2,2,2,,,1,1,1
bowl,spoon,,1,1,1,1,,,1,1,1
bowl,fruit,,1,1,1,1,,,1,1,1
bowl,salad,,1,1,1,1,,,1,1,1
bowl,soup,,1,1,1,1,,,1,1,1
bowl,pot,,1,1,1,1,,,1,1,1
bowl,plate,,1,1,1,1,,,1,1,1
bowl,food,,1,1,1,1,,,1,1,1
bowl,dish,,1,1,1,1,,,1,1,1
bowl,saucer,,1,1,1,1,,,1,1,1
bowl,cup,,1,1,1,1,,,1,1,1
bowl,cereal,,1,1,1,1,,,1,1,1
bowl,fish,,1,1,1,1,,,1,1,1
box,match,,2,2,1,1,,,0,,0
box,glove,,2,2,1,1,,,0,,0
box,cube,,1,1,1,1,,,1,1,1
box,storage,,1,1,1,1,,,1,1,1
box,gift,,1,1,1,1,,,1,1,1
box,paper,,1,1,1,1,,,1,1,1
box,car,,1,1,1,1,,,1,1,1
box,cardboard,,1,1,1,1,,,1,1,1
box,shoe,,1,1,1,1,,,1,1,1
box,square,,1,1,1,1,,,1,1,1
box,present,,1,1,1,1,,,1,1,1
box,toy,,1,1,1,1,,,1,1,1
box,carton,,1,1,1,1,,,1,1,1
box,letter,,1,1,1,1,,,1,1,1
box,container,,1,1,1,1,,,1,1,1
boxing,ring,,1,1,2,2,,,0,,0
boxing,punch,,2,2,2,2,,,1,1,1
boxing,pain,,2,2,2,2,,,1,1,1
boxing,sport,,2,2,2,2,,,1,1,1
boxing,fight,,2,2,2,2,,,1,1,1
boxing,violence,,2,2,2,2,,,1,1,1
boxing,knock,out,2,2,2,2,,,1,1,1
boxing,match,,2,2,2,2,,,1,1,1
boxing,sparring,,2,2,2,2,,,1,1,1
boxing,blood,,2,2,2,2,,,1,1,1
boxing,hit,,2,2,2,2,,,1,1,1
boxing,gloves,,2,2,2,2,,,1,1,1
boxing,ali,,2,2,?2,2,,,0,,1
boxing,tyson,,2,2,?2,2,,i am guessing this is a boxing fighter?,0,,1
brake,accelerate,,1,1,1,1,,,1,1,1
brake,speed,,1,1,1,1,,,1,1,1
brake,rest,,1,1,1,1,,,1,1,1
brake,gas,,1,1,1,1,,,1,1,1
brake,go,,1,1,1,1,,,1,1,1
brake,stop,,1,1,1,1,,,1,1,1
brake,pedal,,1,1,1,1,,,1,1,1
brake,car,,1,1,1,1,,,1,1,1
brake,light,,1,1,1,1,,,1,1,1
brake,accident,,1,1,1,1,,,1,1,1
bride,white,,1,1,1,1,,,1,1,1
bride,marriage,,1,1,1,1,,,1,1,1
bride,groom,,1,1,1,1,,,1,1,1
bride,wedding,,1,1,1,1,,,1,1,1
bridge,covered,,2,2,?1,1,,,0,,0
bridge,card,,2,2,1,1,,,0,,0
bridge,road,,1,1,1,1,,,1,1,1
bridge,tunnel,,1,1,1,1,,,1,1,1
bridge,river,,1,1,1,1,,,1,1,1
bridge,span,,1,1,1,1,,,1,1,1
bridge,london,,1,1,1,1,,,1,1,1
bridge,car,,1,1,1,1,,,1,1,1
bridge,cross,,1,1,1,1,,,1,1,1
bridge,water,,1,1,1,1,,,1,1,1
brook,babbling,,2,2,1,1,,,0,,0
brook,water,,1,1,1,1,,,1,1,1
brook,stream,,1,1,1,1,,,1,1,1
brook,pond,,1,1,1,1,,,1,1,1
brook,river,,1,1,1,1,,,1,1,1
brook,creek,,1,1,1,1,,,1,1,1
brush,bristle,,1,1,1,1,,,1,1,1
brush,touch,,1,1,1,1,,,1,1,1
brush,hair,,1,1,1,1,,,1,1,1
brush,paint,,1,1,1,1,,,1,1,1
brush,comb,,1,1,1,1,,,1,1,1
brush,tooth,,1,1,1,1,,,1,1,1
buck,pass,,4,4,2,2,,,0,,0
buck,wild,,2,2,1,1,,,0,,0
buck,money,,1,1,4,4,,,0,,0
buck,dollar,,1,1,4,4,,,0,,0
buck,rogers,,1,1,-,,,? association unclear,0,,0
buck,kick,,2,2,2,2,,,1,1,1
buck,horse,,2,2,2,2,,,1,1,1
buck,doe,,1,1,1,1,,,1,1,1
buck,bull,,1,1,1,1,,,1,1,1
buck,animal,,1,1,1,1,,,1,1,1
buck,deer,,1,1,1,1,,,1,1,1
bud,dry,,?1,1,1,1,,,0,,1
bud,flower,,1,1,1,1,,,1,1,1
bud,marijuana,,1,1,1,1,,,1,1,1
bud,vase,,1,1,1,1,,,1,1,1
bud,roses,,1,1,1,1,,,1,1,1
bud,light,,1,1,1,1,,,1,1,1
bud,green,,1,1,1,1,,,1,1,1
bud,pot,,1,1,1,1,,,1,1,1
bud,beer,,2,2,?2,2,,association unclear,0,,1
bud,drink,,2,2,?2,2,,association unclear,0,,1
buggy,child,,1,1,1,1,,,1,1,1
buggy,whip,,1,1,1,1,,,1,1,1
buggy,vehicle,,1,1,1,1,,,1,1,1
buggy,coach,,1,1,1,1,,,1,1,1
buggy,volkswagon,,1,1,1,1,,,1,1,1
buggy,baby,,1,1,1,1,,,1,1,1
buggy,cart,,1,1,1,1,,,1,1,1
buggy,car,,1,1,1,1,,,1,1,1
buggy,dune,,1,1,1,1,,,1,1,1
buggy,carriage,,1,1,1,1,,,1,1,1
buggy,horse,,1,1,1,1,,,1,1,1
bull,horn,,1,1,1,1,,,1,1,1
bull,fight,,1,1,1,1,,,1,1,1
bull,shit,,1,1,1,1,,,1,1,1
bull,calf,,1,1,1,1,,,1,1,1
bull,cow,,1,1,1,1,,,1,1,1
bull,run,,1,1,1,1,,,1,1,1
bull,mexico,,1,1,1,1,,,1,1,1
bull,steer,,1,1,1,1,,,1,1,1
bull,cattle,,1,1,1,1,,,1,1,1
bully,butthead,,?1,1,1,1,,,0,,1
bully,push,,1,1,1,1,,,1,1,1
bully,boy,,1,1,1,1,,,1,1,1
bully,rude,,1,1,1,1,,,1,1,1
bully,idiot,,1,1,1,1,,,1,1,1
bully,rough,,1,1,1,1,,,1,1,1
bully,bad,,1,1,1,1,,,1,1,1
bully,stupid,,1,1,1,1,,,1,1,1
bully,school,,1,1,1,1,,,1,1,1
bully,tough,,1,1,1,1,,,1,1,1
bully,jerk,,1,1,1,1,,,1,1,1
bully,hurt,,1,1,1,1,,,1,1,1
bully,big,,1,1,1,1,,,1,1,1
bully,fight,,1,1,1,1,,,1,1,1
bully,mean,,1,1,1,1,,,1,1,1
bully,friend,,1,1,1,1,,,1,1,1
bully,cruel,,1,1,1,1,,,1,1,1
bully,punk,,1,1,1,1,,,1,1,1
bully,pest,,1,1,1,1,,,1,1,1
bully,usf,,-,,1,1,what is USF? University of South Florida?,,0,,0
burden,hard,,1,1,1,1,,,1,1,1
burden,problem,,1,1,1,1,,,1,1,1
burden,pain,,1,1,1,1,,,1,1,1
burden,load,,1,1,1,1,,,1,1,1
burden,beast,,1,1,1,1,,,1,1,1
burden,trouble,,1,1,1,1,,,1,1,1
burden,child,,1,1,1,1,,,1,1,1
burden,weight,,1,1,1,1,,,1,1,1
burden,chore,,1,1,1,1,,,1,1,1
burden,task,,1,1,1,1,,,1,1,1
burden,work,,1,1,1,1,,,1,1,1
burden,money,,1,1,1,1,,,1,1,1
burden,stress,,1,1,1,1,,,1,1,1
burden,heavy,,1,1,1,1,,,1,1,1
burden,hassle,,1,1,1,1,,,1,1,1
burden,kids,,1,1,1,1,,,1,1,1
burden,school,,1,1,1,1,,,1,1,1
bus,wagon,,1,1,1,1,,,1,1,1
bus,school,,1,1,1,1,,,1,1,1
bus,ride,,1,1,1,1,,,1,1,1
bus,transportation,,1,1,1,1,,,1,1,1
bus,travel,,1,1,1,1,,,1,1,1
bus,taxi,,1,1,1,1,,,1,1,1
bus,cab,,1,1,1,1,,,1,1,1
bus,people,,1,1,1,1,,,1,1,1
bus,driver,,1,1,1,1,,,1,1,1
bus,station,,1,1,1,1,,,1,1,1
bus,transport,,1,1,1,1,,,1,1,1
bus,vehicle,,1,1,1,1,,,1,1,1
bus,city,,1,1,1,1,,,1,1,1
bus,stop,,1,1,1,1,,,1,1,1
bus,trip,,1,1,1,1,,,1,1,1
bus,car,,1,1,1,1,,,1,1,1
bus,children,,1,1,1,1,,,1,1,1
bush,hair,,1,1,?1,1,,,0,,1
bush,beer,,1,1,-,,,none of the def. really match?,0,,0
bush,quayle,,1,1,-,,,quayle is not a word?,0,,0
bush,hedge,,1,1,2,2,,,0,,0
bush,tree,,1,1,1,1,,,1,1,1
bush,plant,,1,1,1,1,,,1,1,1
