SortedOrder,probe,associate,associate (continued),R1,R1,R2,R3,Screened_for_Analysis_seeTab2,Meaning_R1,Meaning_BestGuess_R1,R2,Meaning_R2,Meaning_BestGuess_R2,R3,Meaning_R3,Meaning_BestGuess_R3,Comment_R1,Comment_R2,Comment_R3,Integrated_Comments_By_CR,R1_R2_R3_CertainAgreement,R1_R2_R3_Certain_orUndertainAgreement,DominantMeaning_Certain_or_Guess,
45,angle,protractor,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
46,angle,right,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
47,angle,square,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
48,angle,straight,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
49,angle,triangle,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
50,angle,wide,,lew,lew,kt,aml,1,1,1,kt,1,1,aml,1,1,,,,,1,1,1,
51,arm,chair,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
52,arm,finger,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
53,arm,hand,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
54,arm,leg,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
55,arm,limb,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
56,arm,turf,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,1,1,,,,,0,0,2,
57,ash,ashtray,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
58,ash,burn,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
59,ash,cigar,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
60,ash,cigarette,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
61,ash,cremation,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
62,ash,death,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
63,ash,dust,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
64,ash,fire,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
65,ash,smoke,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
66,ash,tree,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
67,ash,volcano,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
68,ash,tray,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,?1,1,,,,,0,1,1,
69,ban,abolish,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
70,ban,allow,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
71,ban,away,,kt,kt,lew,aml,1,?1,1,lew,1,1,aml,1,1,,,,,0,1,1,
72,ban,block,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
73,ban,books,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
74,ban,censor,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
75,ban,deodorant,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
76,ban,discriminate,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
77,ban,forbid,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
78,ban,never,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
79,ban,no,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
80,ban,not allow,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
81,ban,prevent,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
82,ban,prohibit,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
83,ban,quit,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
84,ban,remove,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
85,ban,roll on,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
86,ban,shield,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
87,ban,stop,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
88,band,bandaid,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
89,band,clarinet,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
90,band,drum,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
91,band,flute,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
92,band,group,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
93,band,instrument,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
94,band,marching,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
95,band,music,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
96,band,noise,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
97,band,play,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
98,band,rap,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
99,band,rock,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
100,band,song,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
101,bass,shoes,,kt,kt,lew,aml,1,?1,1,lew,?1,1,aml,?1,1,,,,,1,1,1,
102,bang,big,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
103,bang,bong,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
104,bang,boom,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
105,bang,crash,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
106,bang,dead,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
107,bang,drum,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
108,bang,explosion,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
109,bang,firework,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
110,bang,gun,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
111,bang,hit,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
112,bang,knock,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
113,bang,loud,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
114,bang,noise,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
115,bang,pow,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
116,bang,sex,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
117,bang,shoot,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
118,bang,smash,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
119,bank,account,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
120,bank,loan,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
121,bank,money,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
122,bank,robber,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
123,bank,teller,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
124,bank,vault,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
125,banker,bank,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
126,banker,barnett,,kt,kt,lew,aml,,-,-,lew,-,-,aml,-,-,"Proper noun, remove",,,Proper noun,1,1,-,
127,banker,boring,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
128,banker,dork,,kt,kt,lew,aml,1,?1,1,lew,1,1,aml,1,1,,,,,0,1,1,
129,banker,lawyer,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
130,banker,money,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
131,banker,rich,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
132,banker,suit,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
133,banker,teller,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
134,bar,alcohol,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
135,bar,bartender,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
136,bar,beer,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
137,bar,club,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
138,bar,dance,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
139,bar,drink,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
140,bar,drunk,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
141,bar,grill,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
142,bar,liquor,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
143,bar,pole,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
144,bar,pub,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
145,bar,room,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
146,bar,stool,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
147,bark,bite,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
148,bark,dog,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
149,bark,meow,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
150,bark,tree,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
151,bark,yell,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
152,base,acid,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
153,base,air,force,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
154,base,army,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
155,base,baseball,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
156,base,basement,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
157,base,bottom,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
158,base,chemistry,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
159,base,exponent,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
160,base,first,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
161,base,foundation,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
162,base,guitar,,kt,kt,lew,aml,,-,-,lew,-,-,aml,-,-,,Incorrect reading of probe,,Incorrect reading of probe,1,1,-,
163,base,home,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
164,base,line,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
165,base,make,up,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
166,base,military,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
167,base,stolen,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,2,2,,,,,0,0,2,
168,base,third,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
169,base,top,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
170,base,treble,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
171,base,vase,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
172,bass,boom,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
173,bass,cello,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
174,bass,drum,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
175,bass,fish,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
176,bass,guitar,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
177,bass,instrument,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
178,bass,lake,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
179,bass,music,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
180,bass,radio,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
181,buck,rogers,,aml,aml,kt,RS,,-,-,kt,-,-,RS,-,-,,Association not clear,,Proper noun,1,1,-,
182,bass,soprano,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
183,bass,sound,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
184,bass,treble,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
185,bass,violin,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
186,bat,animal,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
187,bat,ball,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
188,bat,baseball,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
189,bat,belfry,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,2,2,,,,,0,0,2,
190,bat,bird,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
191,bat,bite,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
192,bat,black,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
193,bat,blind,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
194,bat,cave,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
195,bat,dark,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
196,bat,fly,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
197,bat,hair,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
198,bat,night,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
199,bat,rabies,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
200,bat,rat,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
201,bat,vampire,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
202,bat,wings,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
203,bay,area,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
204,bay,boat,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
205,bay,front,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
206,bay,gulf,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
207,bay,harbor,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
208,bay,horse,,kt,kt,lew,aml,1,1,1,lew,?2,2,aml,1,1,,,,,0,0,1,
209,bay,lake,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
210,bay,ocean,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
211,bay,river,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
212,bay,sea,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
213,bay,shore,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
214,bay,tampa,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
215,bay,watch,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
216,bay,water,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
217,bay,window,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
218,bear,animal,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
219,bear,arms,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
220,bear,big,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
221,bear,black,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
222,bear,brown,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
223,bear,cave,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
224,bear,claw,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
225,bear,cub,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
226,bear,dog,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
227,bear,forest,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
228,bear,fur,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
229,bear,grizzly,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
230,bear,hairy,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
231,bear,hold,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
232,bear,honey,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
233,bear,hug,,kt,kt,lew,aml,1,1,1,lew,2,2,aml,2,2,,,,,0,0,2,
234,bear,in,mind,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
235,bear,lion,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
236,bear,mammal,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
237,bear,mean,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
238,bear,mountain,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
239,bear,paw,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
240,bear,polar,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
241,bear,teddy,bear,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
242,bear,tiger,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
243,bear,tree,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
244,bear,ussr,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
245,bear,woods,,kt,kt,lew,aml,1,2,2,lew,2,2,aml,2,2,,,,,1,1,2,
246,beaver,animal,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
247,beaver,bear,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
248,beaver,brown,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
249,beaver,cleaver,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
250,beaver,creek,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
251,beaver,dam,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
252,beaver,eager,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
253,beaver,fur,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
254,beaver,hat,,kt,kt,lew,aml,1,2,2,lew,1,1,aml,1,1,,,,,0,0,1,
255,beaver,log,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
256,beaver,otter,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
257,beaver,tail,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
258,beaver,teeth,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
259,beaver,tree,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
260,beaver,water,,kt,kt,lew,aml,1,1,1,lew,1,1,aml,1,1,,,,,1,1,1,
