word,NumMeanings,NumSenses,SingleWordOrPhrase,transitive_verb,intransitive_verb,adjective,noun,verb,plural_noun,adverb,suffix,interjection,prefix,preposition,abbreviation,NONE_EMPTYLINEINOTHERFILE,conjunction,pronoun,indefinite_article,auxiliary_verb,plural_pronoun,imperative_verb,definite_article
Bo_ouml_tes,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venue,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barometer,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trapezium,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expiration,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buck_fever,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chowder,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ooze,2,9,singleword.,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
switch-hitter,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamefish,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merman,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
controvert,1,1,singleword.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
womb,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
death_tax,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pave_the_way_for,1,1,phrase.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia_leather,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nor_easter,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gravamen,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deficiency,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craw,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insobriety,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logician,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uroscopy,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keep,1,11,singleword.,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noticeable,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dry_cell,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
majorette,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ommatophore,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gull,2,3,singleword.,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recapitulation,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
successive,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chlorine,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topflight,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downsize,1,1,singleword.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consonant_shift,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
censure,1,4,singleword.,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inorganic,1,3,singleword.,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
correspondence,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitsun,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coccus,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rillettes,1,1,singleword.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
introduction,1,5,singleword.,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dirt-cheap,1,2,singleword.,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
burnsides,1,1,singleword.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
revolutionize,1,2,singleword.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spending_money,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannelloni,1,1,singleword.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
masculinity,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
requiem_shark,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puddle,1,6,singleword.,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
molecule,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#NAME?,1,1,singleword.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nut,1,7,singleword.,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sexist,1,2,singleword.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emancipation,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lynch_law,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interlace,1,2,singleword.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
just,1,12,singleword.,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Germanize,1,2,singleword.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voice-over,1,2,singleword.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ask,1,6,singleword.,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boss,2,11,singleword.,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heroin,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postrider,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacteal,1,3,singleword.,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purple_martin,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tambour,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baleen,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
selfheal,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
se_ntilde_or,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phew,1,1,singleword.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
vitalism,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vanadium_steel,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemise,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cathect,1,1,singleword.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bullring,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tri-,1,1,singleword.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Joseph_s_coat,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recess,1,5,singleword.,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
videocassette_recorder,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gumshoe,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sucrose,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all-American,1,5,singleword.,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forfeit,1,6,singleword.,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subculture,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reverse,1,15,singleword.,5,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steelhead,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
going,1,6,singleword.,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artificer,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aerobatics,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regarding,1,1,singleword.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
perverted,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallantry,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steamer,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pinpoint,1,3,singleword.,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mania,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashur,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tamari,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parcel,1,4,singleword.,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flight_feather,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uncovered,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interlining,2,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rip-roaring,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rigamarole,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intercom,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duckwalk,1,1,singleword.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frou-frou,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
funk,2,6,singleword.,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agglomerate,1,4,singleword.,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boundless,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web,1,6,singleword.,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faultfinding,1,2,singleword.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gold_dust,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maharishi,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pettifogger,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nomadic,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
annulate,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pied-_acirc_-terre,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smew,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
privative,1,4,singleword.,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bellman,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piezoelectric_effect,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poke_bonnet,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classified_advertising,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high_jinks,1,1,phrase.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fem_,1,1,singleword.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
then,1,6,singleword.,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
replication,1,4,singleword.,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conjuration,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rob_the_cradle,1,1,phrase.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drove,2,5,singleword.,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
possessed_of,1,1,phrase.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daft,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contemplate,1,4,singleword.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metalware,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quintuple,1,5,singleword.,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finny,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acro-,1,2,singleword.,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
taxable,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assess,1,3,singleword.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piffle,1,2,singleword.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
psychopathy,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overreach,1,6,singleword.,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
express,1,8,singleword.,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Epsom_salts,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miso-__mis-_,1,1,phrase.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tessitura,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#NAME?,1,2,singleword.,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
warble,2,5,singleword.,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nephew,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carving_knife,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pustulate,1,2,singleword.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paratroop,1,2,singleword.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pantalets__pantalettes_,1,1,phrase.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannonry,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penis,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
climb,1,7,singleword.,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ticklish,1,3,singleword.,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normative,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frittata,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
photoperiodism,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spheroid,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intoxicant,1,2,singleword.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shoreline,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brierwood__briarwood_,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
china,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argentiferous,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catalepsy,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wring,1,7,singleword.,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
media_event,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worst-case,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
officialdom,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy_Bible,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
half_volley,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casual,1,6,singleword.,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
self-educated,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iambus,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cave_in,1,2,phrase.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reference_library,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lick,1,11,singleword.,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fasten,1,8,singleword.,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peel,2,7,singleword.,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eyebrow,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dioxide,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
electromagnetic_wave,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tricksy,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pilothouse,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scrum,1,2,singleword.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woo,1,4,singleword.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pr,1,1,singleword.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
blackguard,1,2,singleword.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
survivor,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nit,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lining,2,5,singleword.,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smudge,1,6,singleword.,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tendency,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dulia,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandbox_tree,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shabuoth,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penny-wise,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suttee,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bosun,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whelk,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
object_lesson,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phonon,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longitude,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spittlebug,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hurricane_lamp,1,2,phrase.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV,1,2,singleword.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
animism,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macroinstruction,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transship__tranship_,1,2,phrase.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
death_wish,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
long-drawn-out,1,1,singleword.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blinder,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chump,2,5,singleword.,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loden,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vest-pocket,1,2,singleword.,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transcend,1,4,singleword.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seethe,1,4,singleword.,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
octoroon,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hebrew_calendar,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewry,1,2,singleword.,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ultraconservative,1,2,singleword.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consolation,1,3,singleword.,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bavarian_cream,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannibal,1,3,singleword.,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosey,1,2,singleword.,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dacca,1,1,singleword.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bossy,3,3,singleword.,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commensurate,1,3,singleword.,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tee_off,1,4,phrase.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathing_suit,1,1,phrase.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
